["t_ma2_bigger_ma5", "t_ma5_bigger_ma10", "t_ma5_bigger_ma20", "t_ma5_bigger_ma30", "t_ma5_bigger_ma60", "t_ma5_bigger_ma100", "t_ma5_bigger_ma120", "t_ma5_bigger_ma200", "t_ma10_bigger_ma20", "t_ma10_bigger_ma30", "t_ma10_bigger_ma60", "t_ma10_bigger_ma100", "t_ma10_bigger_ma120", "t_ma10_bigger_ma200", "t_ma20_bigger_ma30", "t_ma20_bigger_ma60", "t_ma20_bigger_ma100", "t_ma20_bigger_ma120", "t_ma20_bigger_ma200", "t_ma30_bigger_ma60", "t_ma30_bigger_ma100", "t_ma30_bigger_ma120", "t_ma30_bigger_ma200", "t_ma60_bigger_ma100", "t_ma60_bigger_ma120", "t_ma60_bigger_ma200", "t_ma100_bigger_ma120", "t_ma100_bigger_ma200", "t_ma120_bigger_ma200", "y_ma2_bigger_ma5", "y_ma5_bigger_ma10", "y_ma5_bigger_ma20", "y_ma5_bigger_ma30", "y_ma5_bigger_ma60", "y_ma5_bigger_ma100", "y_ma5_bigger_ma120", "y_ma5_bigger_ma200", "y_ma10_bigger_ma20", "y_ma10_bigger_ma30", "y_ma10_bigger_ma60", "y_ma10_bigger_ma100", "y_ma10_bigger_ma120", "y_ma10_bigger_ma200", "y_ma20_bigger_ma30", "y_ma20_bigger_ma60", "y_ma20_bigger_ma100", "y_ma20_bigger_ma120", "y_ma20_bigger_ma200", "y_ma30_bigger_ma60", "y_ma30_bigger_ma100", "y_ma30_bigger_ma120", "y_ma30_bigger_ma200", "y_ma60_bigger_ma100", "y_ma60_bigger_ma120", "y_ma60_bigger_ma200", "y_ma100_bigger_ma120", "y_ma100_bigger_ma200", "y_ma120_bigger_ma200", "t_ma2_bigger_y_ma2", "t_ma3_bigger_y_ma3", "t_ma4_bigger_y_ma5", "t_ma5_bigger_y_ma5", "t_ma10_bigger_y_ma10", "t_ma20_bigger_y_ma20", "t_ma30_bigger_y_ma30", "t_ma60_bigger_y_ma60", "t_ma100_bigger_y_ma100", "t_ma120_bigger_y_ma120", "t_ma200_bigger_y_ma200", "lowest_5_day", "lowest_10_day", "lowest_20_day", "lowest_30_day", "lowest_60_day", "lowest_100_day", "lowest_120_day", "highest_5_day", "highest_10_day", "highest_20_day", "highest_30_day", "highest_60_day", "highest_100_day", "highest_120_day", "volume1_bigger_volume2", "volume2_bigger_volume3", "volume2_bigger_volume5", "volume5_bigger_volume10", "volume5_bigger_volume20", "volume5_bigger_volume30", "volume5_bigger_volume60", "volume5_bigger_volume100", "open_bigger_close", "open_equal_high", "open_equal_low", "close_equal_low", "close_equal_high"]
2013-08-07[true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, false, false, true, false, false, false, false, true, false, false, false, false]
2013-08-06[true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, true, false, false, false, true, false, false, false, false, false, false, false, false, false]
2013-08-05[true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, false, false, true, true, false, false, false, false, false, false, false, false, false]
2013-08-02[true, true, true, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, false, false, false, false]
2013-08-01[true, true, false, true, false, true, true, true, false, true, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, true, true, false, false, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, false, true, false, false, false, false, false, false, false, false, false, false]
2013-07-31[true, false, false, false, false, true, true, true, false, false, false, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, false, true, true, true, true, false, false, false, false, false, false, false, false, true, true, true, true, true, true, false, true, true, false, false, false, false, false, false, false, true, false, false]
2013-07-30[true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, true, false, false, false, false]
2013-07-29[true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, false, true, false, true, true, true, true, false, false, false, false, false, false, false, false, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false]
2013-07-26[true, false, false, false, false, true, true, true, true, false, false, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, false, false, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, false, true, false, false, false, false, false, false, true, false, false, false, false]
2013-07-25[true, false, false, false, false, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, false, false, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false]
2013-07-24[false, false, true, false, false, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, true, true, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, true, false, false, false, false]
2013-07-23[false, false, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, false, true, false, false, false, false, false, false, false, false, false, false, false]
2013-07-22[false, true, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false]
2013-07-19[false, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, true, false, false, true, true, true, true, true, false, false, false, false, false, false, true, true, true, true, true, true, true, false, false, false, true, false, false, false, false, true, false, false, false, false]
2013-07-18[true, true, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, false, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, false, true, true, true, false, true, false, true, false, false, false, false, false]
2013-07-17[true, true, true, false, true, true, true, true, true, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, true, false, false, false, false]
2013-07-16[true, true, true, false, true, true, true, true, false, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, false, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, true, false, false, true, false, false, false, false, false, false, false, false, false, false]
2013-07-15[true, true, false, false, true, true, true, true, false, false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, false, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, true, false, true, true, false, false, false, false, false, true, false, false, false, false]
2013-07-12[true, true, false, false, true, true, true, true, false, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, false, true, true, true, true, false, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, true, false, false, true, false]
2013-07-11[false, true, false, false, true, true, true, true, false, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, false, true, true, true, true, false, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, false, false, true, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false]
